PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
27641665,notass,NA,Y,Adipose-derived stem cell exosomes alleviate pathology of amyotrophic lateral sclerosis in vitro.,Y,,,,
27644883,notass,Yes,Y,Human aortic smooth muscle cell-derived exosomal miR-221/222 inhibits autophagy via a PTEN/Akt signaling pathway in human umbilical vein endothelial cells.,Y,,,,
27649887,notass,NA,N,Role of Phosphatidylserine-Derived Negative Surface Charges in the Recognition and Uptake of Intravenously Injected B16BL6-Derived Exosomes by Macrophages.,N,,,,
27650731,notass,Yes,Y,Transfer of microRNA-486-5p from human endothelial colony forming cell-derived exosomes reduces ischemic kidney injury.,Y,,,,
27659353,notass,NA,N,Immunogenic FEAT protein circulates in the bloodstream of cancer patients.,N,,,,
27661079,notass,NA,N,Increased Brain-Specific MiR-9 and MiR-124 in the Serum Exosomes of Acute Ischemic Stroke Patients.,N,,,,
27662798,notass,NA,Y,Fibrogenic Signaling Is Suppressed in Hepatic Stellate Cells through Targeting of Connective Tissue Growth Factor (CCN2) by Cellular or Exosomal MicroRNA-199a-5p.,Y,,,,
27663861,notass,Yes,N,Lipid raft-associated stomatin enhances cell fusion.,N,,,,
27664330,notass,No,N,Exosomal proteins as prostate cancer biomarkers in urine: From mass spectrometry discovery to immunoassay-based validation.,N,,,,
27664331,notass,NA,N,Extracellular vesicles in food: Experimental evidence of their secretion in grape fruits.,N,,,,
27665565,notass,NA,N,Isolation of Exosome-Like Vesicles from Plants by Ultracentrifugation on Sucrose/Deuterium Oxide (D2O) Density Cushions.,N,,,,
27666412,notass,NA,N,Colorectal cancer cell-derived microRNA200 modulates the resistance of adjacent blood endothelial barriers in vitro.,N,,,,
27667168,notass,NA,N,Conditioned medium from human umbilical vein endothelial cells markedly improves the proliferation and differentiation of circulating endothelial progenitors.,N,,,,
27669441,notass,Yes,Y,Cancer-associated fibroblast exosomes regulate survival and proliferation of pancreatic cancer cells.,Y,,,,
27670592,notass,NA,N,Psoriatic T cells recognize neolipid antigens generated by mast cell phospholipase delivered by exosomes and presented by CD1a.,N,,,,
27676131,notass,Yes,N,Synovium-Derived MicroRNAs Regulate Bone Pathways in Rheumatoid Arthritis.,N,,,,
27677799,notass,NA,Y,Secondary Release of Exosomes From Astrocytes Contributes to the Increase in Neural Plasticity and Improvement of Functional Recovery After Stroke in Rats Treated With Exosomes Harvested From MicroRNA 133b-Overexpressing Multipotent Mesenchymal Stromal Cells.,Y,,,,
27680301,notass,NA,N,A standardized method to determine the concentration of extracellular vesicles using tunable resistive pulse sensing.,N,,,,
27684284,notass,NA,Y,Inflammasome-Derived Exosomes Activate NF-κB Signaling in Macrophages.,Y,,,,
27686150,notass,No,N,Proteome Profiling of Urinary Exosomes Identifies Alpha 1-Antitrypsin and H2B1K as Diagnostic and Prognostic Biomarkers for Urothelial Carcinoma.,N,,,,
27686625,notass,Yes,Y,Exosomes derived from MSCs ameliorate retinal laser injury partially by inhibition of MCP-1.,Y,,,,
27692806,notass,NA,N,Human vascular progenitor cells derived from renal arteries are endothelial-like and assist in the repair of injured renal capillary networks.,N,,,,
27693459,notass,Yes,N,Breast cancer-secreted miR-939 downregulates VE-cadherin and destroys the barrier function of endothelial monolayers.,N,,,,
27708120,notass,NA,N,Commercial Dairy Cow Milk microRNAs Resist Digestion under Simulated Gastrointestinal Tract Conditions.,N,,,,
27716356,notass,Yes,Y,Exosomes derived from HCC cells induce sorafenib resistance in hepatocellular carcinoma both in vivo and in vitro.,Y,,,,
27720897,notass,NA,N,"Cell type-specific and common characteristics of exosomes derived from mouse cell lines: Yield, physicochemical properties, and pharmacokinetics.",N,,,,
27723556,notass,No,N,Exosome-based tumor antigens-adjuvant co-delivery utilizing genetically engineered tumor cell-derived exosomes with immunostimulatory CpG DNA.,N,,,,
27725848,notass,Yes,N,Let-7a inhibits migration of melanoma cells via down-regulation of HMGA2 expression.,N,,,,
27728810,notass,NA,N,Exosomes as biomimetic tools for stem cell differentiation: Applications in dental pulp tissue regeneration.,N,,,,
27733296,notass,NA,N,The Detection of Androgen Receptor Splice Variant 7 in Plasma-derived Exosomal RNA Strongly Predicts Resistance to Hormonal Therapy in Metastatic Prostate Cancer Patients.,N,,,,
27737793,notass,NA,N,Effect of shear stress in the flow through the sampling needle on concentration of nanovesicles isolated from blood.,N,,,,
27740615,notass,NA,N,Expression of the fusogenic p14 FAST protein from a replication-defective adenovirus vector does not provide a therapeutic benefit in an immunocompetent mouse model of cancer.,N,,,,
27754746,notass,NA,N,The distinct traits of extracellular vesicles generated by transformed cells.,N,,,,
27757298,notass,Yes,N,Exosome-driven transfer of tumor-associated Pioneer Translation Products (TA-PTPs) for the MHC class I cross-presentation pathway.,N,,,,
27758876,notass,Yes,Y,Exosomes Promote Ovarian Cancer Cell Invasion through Transfer of CD44 to Peritoneal Mesothelial Cells.,Y,,,,
27760548,notass,NA,Y,ATL-derived exosomes modulate mesenchymal stem cells: potential role in leukemia progression.,Y,,,,
27770278,notass,No,N,Comprehensive proteome profiling of glioblastoma-derived extracellular vesicles identifies markers for more aggressive disease.,N,,,,
27779585,notass,NA,Y,"Exosomes, not protein or lipids, in mesenteric lymph activate inflammation: Unlocking the mystery of post-shock multiple organ failure.",Y,,,,
27780544,notass,NA,N,Isolation of human trophoblastic extracellular vesicles and characterization of their cargo and antiviral activity.,N,,,,
27783649,notass,NA,N,Mechanism of Fibronectin Binding to Human Trabecular Meshwork Exosomes and Its Modulation by Dexamethasone.,N,,,,
27792649,notass,Yes,Y,Macrophage Foam Cell-Derived Extracellular Vesicles Promote Vascular Smooth Muscle Cell Migration and Adhesion.,Y,,,,
27801511,notass,NA,N,Isolation and Characterization of Exosomes from Cultures of Tissue Explants and Cell Lines.,N,,,,
27802194,notass,NA,N,Screening of exosomal microRNAs from colorectal cancer cells.,N,,,,
27802315,notass,Yes,Y,Exosomal GAPDH from Proximal Tubule Cells Regulate ENaC Activity.,Y,,,,
27805059,notass,NA,N,Isolation and mass spectrometry analysis of urinary extraexosomal proteins.,N,,,,
27826916,notass,NA,N,MicroRNA Profiling of Exosomes.,N,,,,
27826921,notass,NA,N,Exosomal MicroRNA Discovery in Age-Related Macular Degeneration.,N,,,,
27826922,notass,NA,N,Profiling the MicroRNA Payload of Exosomes Derived from Ex Vivo Primary Colorectal Fibroblasts.,N,,,,
27831634,notass,Yes,Y,Exosomes mediated transfer of lncRNA UCA1 results in increased tamoxifen resistance in breast cancer cells.,Y,,,,
27832183,notass,NA,Y,Tumor Cell-Derived Exosomes from the Prostate Cancer Cell Line TRAMP-C1 Impair Osteoclast Formation and Differentiation.,Y,,,,
27833848,notass,Yes,Y,Neutral ceramidase-enriched exosomes prevent palmitic acid-induced insulin resistance in H4IIEC3 hepatocytes.,Y,,,,
27837092,notass,NA,N,Extracellular Vesicles Isolated from the Leaf Apoplast Carry Stress-Response Proteins.,N,,,,
27840195,notass,No,N,"Reprint of ""EXOSOME LEVELS IN HUMAN BODY FLUIDS: A TUMOR MARKER BY THEMSELVES?""",N,,,,
27845903,notass,NA,N,Myoferlin is a novel exosomal protein and functional regulator of cancer-derived exosomes.,N,,,,
27847282,notass,Yes,Y,Mesenchymal stem cell-derived extracellular vesicles ameliorate inflammation-induced preterm brain injury.,Y,,,,
27852323,notass,Yes,Y,Circulating exosomes from patients with systemic lupus erythematosus induce an proinflammatory immune response.,Y,,,,
27852847,notass,Yes,N,Visualizing the Essential Role of Complete Virion Assembly Machinery in Efficient Hepatitis C Virus Cell-to-Cell Transmission by a Viral Infection-Activated Split-Intein-Mediated Reporter System.,N,,,,
27858353,notass,NA,N,Exosomes in Tumor Angiogenesis.,N,,,,
27872050,notass,Yes,Y,"Experimental, Systems, and Computational Approaches to Understanding the MicroRNA-Mediated Reparative Potential of Cardiac Progenitor Cell-Derived Exosomes From Pediatric Patients.",Y,,,,
27872197,notass,NA,N,Plasma exosomes are enriched in Hsp70 and modulated by stress and cortisol in rainbow trout.,N,,,,
27872619,notass,NA,Y,Ebola VP40 in Exosomes Can Cause Immune Cell Dysfunction.,Y,,,,
27873273,notass,NA,N,Isolation and Characterization of Exosomes Released by EBV-Immortalized Cells.,N,,,,
27873274,notass,NA,Y,Functional Analysis of Exosomes Derived from EBV-Infected Cells.,Y,,,,
27881406,notass,No,N,Enrichment of selective miRNAs in exosomes and delivery of exosomal miRNAs in vitro and in vivo.,N,,,,
27882487,notass,Yes,Y,Delivery of Small Interfering RNA to Inhibit Vascular Endothelial Growth Factor in Zebrafish Using Natural Brain Endothelia Cell-Secreted Exosome Nanovesicles for the Treatment of Brain Cancer.,Y,,,,
27886573,notass,NA,N,Nuclear transportation of exogenous epidermal growth factor receptor and androgen receptor via extracellular vesicles.,N,,,,
27888803,notass,No,N,Exosomal long noncoding RNA CRNDE-h as a novel serum-based biomarker for diagnosis and prognosis of colorectal cancer.,N,,,,
27892494,notass,Yes,N,Circular RNAs are down-regulated in KRAS mutant colon cancer cells and can be transferred to exosomes.,N,,,,
27895585,notass,NA,N,Feto-Maternal Trafficking of Exosomes in Murine Pregnancy Models.,N,,,,
27896643,notass,NA,N,A novel signaling role for miR-451 in esophageal tumor microenvironment and its contribution to tumor progression.,N,,,,
27900319,notass,Yes,N,Spleen-Dependent Immune Protection Elicited by CpG Adjuvanted Reticulocyte-Derived Exosomes from Malaria Infection Is Associated with Changes in T cell Subsets' Distribution.,N,,,,
27905554,notass,NA,N,Increased plasma VEGF levels following ischemic preconditioning are associated with downregulation of miRNA-762 and miR-3072-5p.,N,,,,
27906043,notass,NA,Y,Exosomes play an important role in the process of psoralen reverse multidrug resistance of breast cancer.,Y,,,,
27908912,notass,NA,Y,A Deep Proteome Analysis Identifies the Complete Secretome as the Functional Unit of Human Cardiac Progenitor Cells.,Y,,,,
27909058,notass,NA,Y,Secreted Glioblastoma Nanovesicles Contain Intracellular Signaling Proteins and Active Ras Incorporated in a Farnesylation-dependent Manner.,Y,,,,
27913196,notass,Yes,Y,NF-kB-regulated exosomal miR-155 promotes the inflammation associated with arsenite carcinogenesis.,Y,,,,
27928512,notass,Yes,Y,Extracellular Vesicle-Associated Aβ Mediates Trans-Neuronal Bioenergetic and Ca2+-Handling Deficits in Alzheimer's Disease Models.,Y,,,,
27929118,notass,Yes,Y,Exosomal microRNA miR-1246 induces cell motility and invasion through the regulation of DENND2D in oral squamous cell carcinoma.,Y,,,,
27929413,notass,NA,N,Exosome Proteome of U-87MG Glioblastoma Cells.,N,,,,
27941677,notass,Yes,Y,The Enrichment of Survivin in Exosomes from Breast Cancer Cells Treated with Paclitaxel Promotes Cell Survival and Chemoresistance.,Y*,,,,
27943207,notass,NA,N,Quantitative Analysis of Exosomal miRNA via qPCR and Digital PCR.,N,,,,
27943208,notass,NA,N,Small RNA Library Construction for Exosomal RNA from Biological Samples for the Ion Torrent PGM™ and Ion S5™ System.,N,,,,
27943212,notass,NA,N,A Method for Isolation of Extracellular Vesicles and Characterization of Exosomes from Brain Extracellular Space.,N,,,,
27943213,notass,NA,N,Isolation of Exosomes and Microvesicles from Cell Culture Systems to Study Prion Transmission.,N,,,,
27943214,notass,NA,N,Isolation of Platelet-Derived Extracellular Vesicles.,N,,,,
27943216,notass,NA,N,Preparation and Isolation of siRNA-Loaded Extracellular Vesicles.,N,,,,
27956246,notass,Yes,N,Global profiling of viral and cellular non-coding RNAs in Epstein-Barr virus-induced lymphoblastoid cell lines and released exosome cargos.,N,,,,
27959588,notass,Yes,Y,Exosome-Mediated Telomere Instability in Human Breast Epithelial Cancer Cells after X Irradiation.,Y,,,,
27965168,notass,NA,N,A specific spectral signature of serum and plasma-derived extracellular vesicles for cancer screening.,N,,,,
27973407,notass,NA,N,Comparative miRNA Analysis of Urine Extracellular Vesicles Isolated through Five Different Methods.,N,,,,
27977725,notass,NA,Y,"Characterization and Functional Analysis of Extracellular Vesicles and Muscle-Abundant miRNAs (miR-1, miR-133a, and miR-206) in C2C12 Myocytes and mdx Mice.",Y,,,,
27989744,notass,NA,N,Characterization of extracellular vesicles by IR spectroscopy: Fast and simple classification based on amide and CH stretching vibrations.,N,,,,
27990656,notass,NA,N,Exosomal and Non-Exosomal Urinary miRNAs in Prostate Cancer Detection and Prognosis.,N,,,,
27993726,notass,NA,N,Size-dependent cellular uptake of exosomes.,N,,,,
27998767,notass,NA,Y,Maternal exosomes in diabetes contribute to the cardiac development deficiency.,Y,,,,
28000095,notass,NA,Y*,Exosomes from iPSCs Delivering siRNA Attenuate Intracellular Adhesion Molecule-1 Expression and Neutrophils Adhesion in Pulmonary Microvascular Endothelial Cells.,Y*,,,,
28005467,notass,No,N,Defining the purity of exosomes required for diagnostic profiling of small RNA suitable for biomarker discovery.,N,,,,
28008587,notass,Yes,Y,Neutral Ceramidase Secreted Via Exosome Protects Against Palmitate-Induced Apoptosis in INS-1 Cells.,Y,,,,
28025988,notass,NA,N,Charge-based precipitation of extracellular vesicles.,N,,,,
28026121,notass,Yes,Y,"Circulating exosomal microRNA-96 promotes cell proliferation, migration and drug resistance by targeting LMO7.",Y,,,,
28032400,notass,NA,N,Increasing circulating exosomes-carrying TRPC5 predicts chemoresistance in metastatic breast cancer patients.,N,,,,
28034753,notass,NA,Y,Role of extracellular vesicles in the interaction between epithelial and mesenchymal cells during oviductal ciliogenesis.,Y,,,,
28038441,notass,Yes,N,Visualization of exosome-mediated miR-210 transfer from hypoxic tumor cells.,N,,,,
28039962,notass,NA,N,Association of ficolin-3 with abdominal aortic aneurysm presence and progression.,N,,,,
28040512,notass,NA,N,Extracellular vesicles of the blood-brain barrier: Role in the HIV-1 associated amyloid beta pathology.,N,,,,
28042326,notass,Yes,Y,Exosomes derived from miR-140-5p-overexpressing human synovial mesenchymal stem cells enhance cartilage tissue regeneration and prevent osteoarthritis of the knee in a rat model.,Y,,,,
28042333,notass,Yes,Y,Nanosized UCMSC-derived extracellular vesicles but not conditioned medium exclusively inhibit the inflammatory response of stimulated T cells: implications for nanomedicine.,Y,,,,
28056059,notass,Yes,N,High Levels of EBV-Encoded RNA 1 (EBER1) Trigger Interferon and Inflammation-Related Genes in Keratinocytes Expressing HPV16 E6/E7.,N,,,,
